attrition_id,employee_id,exit_date,attrition_reason,tenure_months,exit_interview_score
ATT00001,EMP00001,2024-01-06,Career Growth,18,4.2
ATT00002,EMP00010,2024-10-29,Manager Issues,13,4.3
ATT00003,EMP00013,2024-12-05,Manager Issues,7,4.4
ATT00004,EMP00019,2023-05-08,Better Salary,12,8
ATT00005,EMP00022,2023-09-23,Health Reasons,5,4.8
ATT00006,EMP00023,2024-01-17,Work-Life Balance,22,3.1
ATT00007,EMP00024,2024-12-26,Higher Education,4,7.4
ATT00008,EMP00029,2024-12-26,Manager Issues,32,7.3
ATT00009,EMP00030,2024-12-29,Health Reasons,3,4.6
ATT00010,EMP00041,2024-10-13,Personal Reasons,5,7.7
ATT00011,EMP00049,2023-08-23,Career Growth,12,2.8
ATT00012,EMP00050,2024-08-18,Relocation,8,8.2
ATT00013,EMP00069,2022-12-24,Higher Education,10,3.1
ATT00014,EMP00080,2024-12-27,Manager Issues,3,7.9
ATT00015,EMP00081,2023-12-22,Better Salary,18,3.7
ATT00016,EMP00085,2024-09-12,Relocation,16,5.8
ATT00017,EMP00087,2024-10-09,Personal Reasons,12,3.7
ATT00018,EMP00095,2024-09-24,Manager Issues,28,2.2
ATT00019,EMP00102,2024-10-05,Manager Issues,3,5.2
ATT00020,EMP00106,2024-11-22,Better Salary,4,5.7
ATT00021,EMP00108,2023-08-12,Career Growth,3,6.4
ATT00022,EMP00115,2024-12-16,Relocation,4,6
ATT00023,EMP00117,2023-05-17,Career Growth,7,8.4
ATT00024,EMP00131,2024-12-29,Health Reasons,4,6.9
ATT00025,EMP00138,2024-11-18,Better Salary,7,6.4
ATT00026,EMP00142,2024-06-12,Better Salary,14,7.3
ATT00027,EMP00148,2024-12-29,Career Growth,26,4.6
ATT00028,EMP00150,2023-07-02,Manager Issues,4,3.5
ATT00029,EMP00151,2023-07-08,Relocation,12,8.5
ATT00030,EMP00153,2024-06-12,Work-Life Balance,4,2.8
ATT00031,EMP00161,2024-09-29,Career Growth,15,3.7
ATT00032,EMP00164,2023-06-27,Career Growth,4,2.1
ATT00033,EMP00166,2022-07-27,Work-Life Balance,4,2.8
ATT00034,EMP00168,2024-07-13,Work-Life Balance,6,3.5
ATT00035,EMP00170,2023-10-10,Work-Life Balance,14,7.4
ATT00036,EMP00180,2024-07-25,Health Reasons,21,3.6
ATT00037,EMP00184,2023-12-17,Career Growth,14,5.1
ATT00038,EMP00185,2023-02-15,Higher Education,5,2.2
ATT00039,EMP00194,2024-08-14,Health Reasons,12,6.3
ATT00040,EMP00195,2024-06-14,Better Salary,28,7.5
ATT00041,EMP00198,2024-07-08,Higher Education,6,8
ATT00042,EMP00204,2024-02-22,Work-Life Balance,13,2.7
ATT00043,EMP00205,2024-08-10,Personal Reasons,7,5.6
ATT00044,EMP00213,2024-11-19,Manager Issues,9,7.8
ATT00045,EMP00215,2024-12-23,Career Growth,6,7.4
ATT00046,EMP00218,2022-10-15,Work-Life Balance,4,3.3
ATT00047,EMP00219,2023-02-08,Work-Life Balance,8,3.4
ATT00048,EMP00224,2024-02-26,Manager Issues,3,3.8
ATT00049,EMP00226,2024-08-12,Career Growth,4,6.4
ATT00050,EMP00227,2024-12-09,Personal Reasons,4,3.1
ATT00051,EMP00233,2024-04-12,Work-Life Balance,27,6.8
ATT00052,EMP00234,2024-08-12,Personal Reasons,4,3.1
ATT00053,EMP00236,2022-11-11,Relocation,4,4.3
ATT00054,EMP00244,2024-02-21,Better Salary,15,4.3
ATT00055,EMP00247,2024-10-25,Work-Life Balance,17,2.3
ATT00056,EMP00253,2024-12-07,Career Growth,26,6.1
ATT00057,EMP00257,2024-06-18,Career Growth,7,3.7
ATT00058,EMP00260,2024-10-20,Career Growth,6,6.1
ATT00059,EMP00261,2024-12-17,Manager Issues,3,4.4
ATT00060,EMP00271,2023-04-20,Better Salary,12,3.6
ATT00061,EMP00278,2023-12-24,Manager Issues,20,7.7
ATT00062,EMP00281,2024-12-23,Career Growth,33,5.8
ATT00063,EMP00282,2024-10-23,Better Salary,8,4.1
ATT00064,EMP00284,2023-11-09,Personal Reasons,5,7.3
ATT00065,EMP00290,2024-12-01,Career Growth,10,8.5
ATT00066,EMP00293,2024-07-13,Career Growth,7,8.1
ATT00067,EMP00300,2023-01-01,Health Reasons,7,5.6
ATT00068,EMP00301,2024-10-27,Career Growth,33,3.1
ATT00069,EMP00302,2023-03-22,Career Growth,12,7.5
ATT00070,EMP00303,2022-09-01,Better Salary,3,2.2
ATT00071,EMP00304,2024-07-24,Better Salary,17,7.7
ATT00072,EMP00305,2024-10-18,Health Reasons,7,6
ATT00073,EMP00306,2024-11-27,Higher Education,5,7.7
ATT00074,EMP00308,2024-06-27,Health Reasons,5,3.4
ATT00075,EMP00312,2022-10-09,Better Salary,3,7.5
ATT00076,EMP00313,2024-10-11,Higher Education,5,4.6
ATT00077,EMP00314,2024-11-09,Relocation,23,5.3
ATT00078,EMP00317,2024-05-21,Health Reasons,3,3.1
ATT00079,EMP00325,2024-11-17,Better Salary,12,6.4
ATT00080,EMP00327,2024-08-22,Better Salary,12,7.9
ATT00081,EMP00328,2024-11-22,Better Salary,4,6.9
ATT00082,EMP00329,2024-12-30,Better Salary,6,8
ATT00083,EMP00331,2024-11-02,Career Growth,3,8.1
ATT00084,EMP00333,2023-05-03,Work-Life Balance,12,6.9
ATT00085,EMP00341,2024-09-14,Career Growth,18,7.9
ATT00086,EMP00343,2024-05-02,Higher Education,25,6.4
ATT00087,EMP00348,2024-08-27,Career Growth,4,6.3
ATT00088,EMP00349,2024-09-27,Better Salary,11,6.2
ATT00089,EMP00352,2024-12-01,Higher Education,8,7
ATT00090,EMP00353,2024-12-29,Career Growth,13,6.7
ATT00091,EMP00355,2024-10-03,Health Reasons,4,7.7
ATT00092,EMP00358,2024-10-01,Personal Reasons,28,2
ATT00093,EMP00359,2024-05-24,Work-Life Balance,6,6.1
ATT00094,EMP00361,2023-02-27,Better Salary,5,6.4
ATT00095,EMP00362,2023-09-10,Better Salary,6,5.6
ATT00096,EMP00368,2023-07-15,Health Reasons,7,2.7
ATT00097,EMP00382,2024-09-05,Better Salary,12,2.4
ATT00098,EMP00388,2024-10-03,Better Salary,11,3.7
ATT00099,EMP00389,2022-12-04,Manager Issues,4,2.1
ATT00100,EMP00391,2024-01-04,Personal Reasons,4,4.8
ATT00101,EMP00395,2024-07-26,Personal Reasons,4,7.9
ATT00102,EMP00398,2024-10-04,Better Salary,4,7
ATT00103,EMP00399,2023-06-02,Personal Reasons,7,6.9
ATT00104,EMP00400,2024-12-14,Personal Reasons,3,3.6
ATT00105,EMP00405,2024-02-07,Work-Life Balance,10,7.9
ATT00106,EMP00412,2024-07-04,Career Growth,6,7.3
ATT00107,EMP00424,2022-06-13,Better Salary,4,7
ATT00108,EMP00428,2024-08-05,Work-Life Balance,3,7.1
ATT00109,EMP00430,2024-12-07,Personal Reasons,5,5.9
ATT00110,EMP00434,2023-05-14,Manager Issues,10,6
ATT00111,EMP00439,2024-12-05,Relocation,8,6.5
ATT00112,EMP00442,2024-11-13,Manager Issues,3,3.4
ATT00113,EMP00452,2024-12-15,Personal Reasons,23,7
ATT00114,EMP00453,2024-03-21,Work-Life Balance,15,4.8
ATT00115,EMP00454,2024-11-06,Relocation,12,6.8
ATT00116,EMP00455,2024-06-21,Personal Reasons,7,7.8
ATT00117,EMP00461,2024-04-15,Better Salary,14,5.4
ATT00118,EMP00462,2024-09-06,Relocation,32,7.1
ATT00119,EMP00468,2024-11-27,Better Salary,7,6.9
ATT00120,EMP00470,2024-12-15,Work-Life Balance,26,2.3
ATT00121,EMP00473,2023-10-26,Higher Education,22,5.1
ATT00122,EMP00474,2023-09-26,Work-Life Balance,15,6.6
ATT00123,EMP00476,2024-09-27,Personal Reasons,9,6.2
ATT00124,EMP00478,2024-07-16,Better Salary,7,6.5
ATT00125,EMP00481,2024-09-24,Relocation,24,7.9
ATT00126,EMP00485,2024-12-06,Relocation,4,7
ATT00127,EMP00487,2023-07-26,Better Salary,13,7.4
ATT00128,EMP00491,2024-10-21,Better Salary,10,5.3
ATT00129,EMP00493,2024-06-29,Relocation,3,8
ATT00130,EMP00498,2024-09-30,Higher Education,10,3.3
ATT00131,EMP00504,2024-01-26,Higher Education,23,2.7
ATT00132,EMP00505,2024-11-03,Work-Life Balance,8,2.1
ATT00133,EMP00506,2024-08-07,Relocation,5,7.8
ATT00134,EMP00507,2024-09-24,Higher Education,3,4.1
ATT00135,EMP00509,2023-04-05,Work-Life Balance,7,3.1
ATT00136,EMP00510,2024-12-06,Relocation,18,6.7
ATT00137,EMP00520,2024-11-19,Relocation,24,3.6
ATT00138,EMP00524,2024-09-18,Better Salary,12,3.3
ATT00139,EMP00526,2023-10-05,Work-Life Balance,11,4
ATT00140,EMP00528,2024-06-11,Relocation,6,4.3
ATT00141,EMP00532,2023-05-09,Better Salary,12,8
ATT00142,EMP00535,2024-06-11,Relocation,5,6.8
ATT00143,EMP00541,2023-12-03,Better Salary,20,2.1
ATT00144,EMP00544,2024-10-14,Personal Reasons,8,5.3
ATT00145,EMP00545,2024-10-28,Manager Issues,19,6.2
ATT00146,EMP00555,2023-04-10,Health Reasons,9,7.3
ATT00147,EMP00558,2024-05-16,Career Growth,11,3.3
ATT00148,EMP00569,2022-09-22,Work-Life Balance,6,5.8
ATT00149,EMP00576,2024-11-20,Health Reasons,7,7.3
ATT00150,EMP00580,2023-06-20,Higher Education,10,2.6
ATT00151,EMP00586,2024-12-19,Personal Reasons,4,2.4
ATT00152,EMP00587,2024-12-30,Work-Life Balance,11,4.1
ATT00153,EMP00588,2023-07-20,Health Reasons,3,5.8
ATT00154,EMP00593,2024-01-01,Relocation,16,7.6
ATT00155,EMP00597,2024-09-22,Better Salary,15,5.1
ATT00156,EMP00600,2024-12-03,Health Reasons,8,6
ATT00157,EMP00609,2024-11-10,Work-Life Balance,16,8.1
ATT00158,EMP00611,2024-08-16,Personal Reasons,30,3.2
ATT00159,EMP00614,2023-04-27,Career Growth,6,3.2
ATT00160,EMP00623,2024-03-30,Higher Education,11,8.2
ATT00161,EMP00625,2023-12-24,Relocation,4,2.2
ATT00162,EMP00627,2024-10-29,Career Growth,3,8
ATT00163,EMP00628,2024-10-04,Higher Education,17,4.3
ATT00164,EMP00631,2023-12-01,Relocation,16,7.4
ATT00165,EMP00632,2024-12-31,Manager Issues,21,4.8
ATT00166,EMP00635,2023-08-05,Better Salary,4,6.4
