performance_id,employee_id,review_period,performance_rating,training_hours,promotion_flag
PERF000001,EMP00001,2022-H1,3,10,0
PERF000002,EMP00001,2022-H2,4,26,0
PERF000003,EMP00001,2023-H1,3,18,0
PERF000004,EMP00001,2023-H2,4,21,1
PERF000005,EMP00001,2024-H1,4,12,0
PERF000006,EMP00002,2024-H1,5,41,0
PERF000007,EMP00002,2024-H2,4,71,1
PERF000008,EMP00003,2023-H2,3,44,0
PERF000009,EMP00003,2024-H1,3,24,0
PERF000010,EMP00003,2024-H2,3,56,0
PERF000011,EMP00004,2022-H2,4,48,0
PERF000012,EMP00004,2023-H1,3,60,0
PERF000013,EMP00004,2023-H2,4,51,0
PERF000014,EMP00004,2024-H1,4,33,0
PERF000015,EMP00004,2024-H2,4,32,0
PERF000016,EMP00005,2024-H1,3,72,0
PERF000017,EMP00005,2024-H2,4,77,1
PERF000018,EMP00006,2022-H1,4,67,0
PERF000019,EMP00006,2022-H2,4,24,0
PERF000020,EMP00006,2023-H1,5,31,0
PERF000021,EMP00006,2023-H2,4,59,0
PERF000022,EMP00006,2024-H1,4,52,0
PERF000023,EMP00006,2024-H2,4,68,0
PERF000024,EMP00007,2024-H2,4,54,0
PERF000025,EMP00008,2022-H2,5,74,0
PERF000026,EMP00008,2023-H1,5,76,0
PERF000027,EMP00008,2023-H2,5,56,0
PERF000028,EMP00008,2024-H1,4,56,0
PERF000029,EMP00008,2024-H2,5,49,1
PERF000030,EMP00009,2022-H1,5,51,0
PERF000031,EMP00009,2022-H2,5,71,0
PERF000032,EMP00009,2023-H1,5,44,0
PERF000033,EMP00009,2023-H2,5,37,0
PERF000034,EMP00009,2024-H1,4,24,0
PERF000035,EMP00009,2024-H2,5,34,0
PERF000036,EMP00010,2023-H2,4,24,0
PERF000037,EMP00010,2024-H1,3,19,0
PERF000038,EMP00010,2024-H2,3,9,0
PERF000039,EMP00011,2023-H1,3,36,0
PERF000040,EMP00011,2023-H2,3,41,0
PERF000041,EMP00011,2024-H1,3,49,0
PERF000042,EMP00011,2024-H2,3,80,0
PERF000043,EMP00012,2022-H2,5,26,0
PERF000044,EMP00012,2023-H1,3,58,0
PERF000045,EMP00012,2023-H2,3,40,0
PERF000046,EMP00012,2024-H1,4,30,0
PERF000047,EMP00012,2024-H2,4,26,0
PERF000048,EMP00013,2024-H1,5,28,0
PERF000049,EMP00013,2024-H2,5,11,0
PERF000050,EMP00014,2022-H1,3,71,0
PERF000051,EMP00014,2022-H2,2,48,0
PERF000052,EMP00014,2023-H1,2,28,0
PERF000053,EMP00014,2023-H2,2,46,0
PERF000054,EMP00014,2024-H1,2,53,0
PERF000055,EMP00014,2024-H2,2,76,0
PERF000056,EMP00015,2022-H2,4,70,0
PERF000057,EMP00015,2023-H1,4,64,0
PERF000058,EMP00015,2023-H2,4,40,0
PERF000059,EMP00015,2024-H1,5,72,0
PERF000060,EMP00015,2024-H2,3,24,0
PERF000061,EMP00016,2022-H2,3,45,0
PERF000062,EMP00016,2023-H1,3,31,0
PERF000063,EMP00016,2023-H2,3,52,0
PERF000064,EMP00016,2024-H1,3,21,0
PERF000065,EMP00016,2024-H2,4,42,0
PERF000066,EMP00017,2024-H2,5,32,0
PERF000067,EMP00018,2023-H2,3,79,0
PERF000068,EMP00018,2024-H1,3,66,0
PERF000069,EMP00018,2024-H2,4,57,1
PERF000070,EMP00019,2022-H1,4,9,0
PERF000071,EMP00019,2022-H2,3,26,0
PERF000072,EMP00019,2023-H1,3,27,0
PERF000073,EMP00020,2024-H1,2,32,0
PERF000074,EMP00020,2024-H2,3,68,0
PERF000075,EMP00021,2024-H1,2,43,0
PERF000076,EMP00021,2024-H2,3,61,0
PERF000077,EMP00022,2023-H1,4,6,0
PERF000078,EMP00022,2023-H2,4,4,0
PERF000079,EMP00023,2022-H1,3,15,0
PERF000080,EMP00023,2022-H2,2,15,0
PERF000081,EMP00023,2023-H1,3,5,0
